BatchID,Timestamp,Action,FileName,FilePath
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-7-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2024\2024-G-新高考II卷-7-立体几何.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-8-函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\函数\2024\2024-G-新高考II卷-8-函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-9-三角函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\三角函数\2024\2024-G-新高考II卷-9-三角函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-10-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考II卷-10-圆锥曲线.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-11-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2024\2024-G-新高考II卷-11-导数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-12-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2024\2024-G-新高考II卷-12-数列.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-13-三角函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\三角函数\2024\2024-G-新高考II卷-13-三角函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-14-排列组合.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\排列组合\2024\2024-G-新高考II卷-14-排列组合.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-15-解三角形.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\解三角形\2024\2024-G-新高考II卷-15-解三角形.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-16-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2024\2024-G-新高考II卷-16-导数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-17-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2024\2024-G-新高考II卷-17-立体几何.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-18-概率.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\概率\2024\2024-G-新高考II卷-18-概率.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-19-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考II卷-19-圆锥曲线.tex
20260215_182213,2026-02-15 18:22:17,已新建,2024-G-全国甲卷（理）-3-线性规划.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\线性规划\2024\2024-G-全国甲卷（理）-3-线性规划.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-新课标I卷-7-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-新课标I卷-7-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2021-G-上海卷-1-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2021\2021-G-上海卷-1-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2022-G-上海卷-10-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2022\2022-G-上海卷-10-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2025-G-全国II卷-3-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2025\2025-G-全国II卷-3-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-全国甲卷-3-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-全国甲卷-3-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2025-G-上海卷-2-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2025\2025-G-上海卷-2-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2024-G-新课标II卷-13-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2024\2024-G-新课标II卷-13-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2022-G-全国乙卷-4-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2022\2022-G-全国乙卷-4-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2024-G-全国甲卷-3-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2024\2024-G-全国甲卷-3-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2024-G-全国甲卷-4-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2024\2024-G-全国甲卷-4-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2021-G-北京卷-6-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2021\2021-G-北京卷-6-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-全国乙卷-13-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-全国乙卷-13-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-全国甲卷-5-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-全国甲卷-5-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2022-G-全国乙卷-3-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2022\2022-G-全国乙卷-3-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2025-G-全国I卷-13-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2025\2025-G-全国I卷-13-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-上海卷-3-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-上海卷-3-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-全国乙卷-14-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-全国乙卷-14-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2025-G-全国II卷-6-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2025\2025-G-全国II卷-6-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2021-G-全国甲卷-7-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2021\2021-G-全国甲卷-7-数列.tex
20260215_190352,2026-02-15 19:03:52,已新建,2023-G-新课标II卷-8-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2023\2023-G-新课标II卷-8-数列.tex
